xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgey,yedge,yedgex,letter
4.17814,8.8835,5.3559,6.8069,4.57206,7.25872,5.77609,4.5557,5.56355,7.39967,3.36673,5.80698,2.54946,6.95872,6.04565,7.52001,B
2.64789,4.6972,4.43347,5.08793,3.02391,6.86296,6.6412,4.13577,4.71112,6.17411,4.6696,7.19561,2.26933,7.70139,3.98201,5.81481,B
3.02483,4.65454,4.3771,4.39737,3.14561,6.49046,7.94134,6.13288,5.96541,6.73827,6.78156,9.45355,2.53507,9.45463,5.71419,9.73296,B
3.60382,1.5417,4.55829,2.91369,2.1067,8.40656,2.11106,2.10558,1.15923,7.70385,1.02631,9.01935,1.40257,7.28785,2.02479,7.07715,A
5.86249,11.787,7.02985,8.30187,3.12768,6.81557,6.29015,5.08908,1.01012,8.36651,1.4728,8.44389,3.86402,7.40124,4.078,10.1197,A
2.35275,4.12055,4.29877,3.24998,2.23097,7.56707,6.06418,4.88536,5.32386,9.2744,4.66573,7.91346,1.11145,8.55502,4.78821,8.7277,B
6.43435,10.5255,7.04344,7.32276,4.75171,6.1018,6.47397,3.91119,6.02348,9.80896,5.50042,8.16382,2.96228,6.12584,4.07929,7.5005,B
8.90255,14.0029,11.9759,10.9019,6.1235,12.4381,2.00229,4.36847,3.44272,11.1047,1.5926,10.5459,5.61503,4.91703,3.46782,10.1288,B
2.30899,1.88655,3.86333,1.72643,1.14458,8.67708,3.67889,2.51612,2.55757,7.09656,2.54109,7.98021,2.57713,7.64223,3.03375,8.10793,A
4.3457,8.67538,4.76078,5.60495,2.68443,9.9949,2.49095,4.23055,1.85386,9.63283,2.1213,9.7854,2.84495,7.00786,2.69645,8.45297,A
4.02758,7.49309,4.82371,5.78173,3.03701,10.2797,2.34736,1.4348,2.0816,8.79437,2.33199,9.73203,3.38308,4.47014,3.00973,8.16901,Unknown
4.30243,7.56053,6.68177,5.59684,5.22385,7.71402,4.47576,1.80999,3.15024,5.44779,2.94983,7.61628,3.55046,5.19391,2.9943,7.32421,A
8.7826,10.2232,7.87496,8.66828,4.04625,11.3383,10.6474,8.38978,8.51893,11.5736,8.04989,5.70313,4.86636,12.2605,8.1382,12.3295,B
1.75632,2.97081,4.07786,3.63106,2.77577,7.5569,4.20013,2.73295,2.98463,5.48552,3.96715,6.68558,2.20252,7.38738,5.52914,6.62217,A
3.73004,4.53344,4.27084,3.64938,1.3372,7.73737,7.30803,4.59493,2.53027,8.08032,4.04048,10.2246,4.08747,6.60463,2.23014,9.23313,B
3.30842,7.88361,4.51742,6.3636,3.6592,9.15084,5.17279,2.73744,3.87967,9.53351,2.52678,7.26961,2.39189,7.62558,4.26449,9.79752,B
1.41139,3.65424,2.59005,1.94808,1.29589,5.85931,7.62462,5.22295,6.47874,10.4148,7.57308,12.1807,1.12997,8.96256,3.53342,8.87605,C
4.89429,11.1525,6.68612,7.76452,5.37987,10.1307,4.05115,2.35247,3.51619,8.33685,2.66484,7.27644,4.32113,5.48546,5.35053,7.65304,A
1.91757,4.73838,3.35711,2.73917,2.476,7.07071,8.082,8.07265,7.21989,8.14281,6.93636,10.269,1.82403,9.23933,5.45982,10.7786,C
4.47468,10.506,5.32066,7.15163,3.46336,8.28011,3.14622,3.40718,3.52483,8.95913,2.59183,9.91009,2.40125,7.55494,3.351,9.05114,A
0.38007,5.67342,-0.320876,0.251292,-1.13908,8.95048,13.4134,4.56119,2.03596,10.1517,5.80416,14.7108,1.15657,12.3666,1.34033,13.4756,Unknown
2.38601,6.20686,4.34614,4.63644,2.76572,8.53322,2.77078,2.27603,0.852964,8.33411,2.40484,8.98832,3.34548,5.69313,2.93285,7.92098,A
2.72715,3.6853,4.00946,2.03425,2.85063,8.22472,6.66276,2.90631,5.18975,8.11889,4.29978,5.25191,2.85055,7.64717,5.50613,9.35225,B
3.85924,8.17822,3.77614,4.92757,2.35096,5.28783,8.34264,7.28098,6.93767,10.0396,7.21626,9.64598,1.32793,9.05322,4.18147,7.22239,C
1.05581,3.63122,2.07625,3.70317,0.387855,8.69,5.36077,3.95456,1.33209,8.05634,1.26715,9.20817,2.28359,7.81657,1.86743,9.00535,A
2.10401,3.26648,3.63488,2.5941,1.80353,8.69444,4.34367,2.13936,1.56088,8.46766,3.34748,8.68491,2.66913,7.2186,2.72929,7.51651,A
4.93428,9.97103,6.17725,8.43823,5.04361,6.29108,9.52505,6.41864,9.09954,7.84813,8.02045,13.2871,2.18985,9.5163,9.14794,12.8499,C
6.77448,11.5507,7.8999,7.69155,6.22125,7.8262,6.08679,1.49155,4.48186,7.03263,3.27566,5.48284,4.25189,7.84615,5.47003,6.50708,B
1.82776,4.56255,4.02648,3.09745,1.2429,9.07383,2.95423,2.15647,1.13735,6.90695,1.12872,8.059,1.53835,6.49983,1.25261,7.79356,A
5.05712,11.5088,6.17222,7.10799,4.48173,6.7702,4.21115,2.76672,3.6946,6.41969,3.40804,10.0598,4.57643,8.61943,5.65468,8.96512,B
1.76431,4.50836,3.14003,2.98088,0.689701,6.25809,8.30477,8.03703,8.39395,9.26129,7.69719,13.3378,1.09974,8.51331,4.45175,10.1294,C
4.89936,11.2503,6.78289,7.76445,4.99263,10.0891,1.26528,1.768,2.94144,9.32178,3.80733,8.94837,2.31424,4.74196,4.2833,8.15605,A
4.90288,11.9043,5.24935,9.64583,5.62226,4.13342,9.26081,2.65078,1.57314,6.78336,3.17558,13.5558,6.46756,7.72761,4.00335,7.97788,B
6.21888,9.37892,7.04618,6.52998,4.78788,8.32129,7.58567,4.48476,6.4948,9.13666,3.92127,6.42564,2.4727,7.64859,6.16201,9.21339,B
5.25262,22.1512,10.3704,17.2349,8.55275,13.0091,11.9107,17.4008,17.2569,14.9431,9.47443,16.382,-0.110506,14.3168,15.337,12.7919,Unknown
5.86568,13.2326,7.89131,9.46455,5.31095,12.1106,0.730365,-0.397861,1.06423,8.99146,0.744803,7.77992,2.46917,4.78892,3.93292,9.83519,A
1.67447,4.5782,3.44142,4.20421,1.34967,5.89229,6.54065,5.57368,8.21566,7.57001,5.39232,11.673,0.653588,8.18336,3.68534,9.14965,B
4.40319,7.05119,5.65979,5.21468,5.20686,4.63753,5.1179,3.71132,4.95977,6.80474,4.35729,6.20278,3.24148,6.78887,4.39809,7.23216,B
6.3123,9.32268,7.13023,6.05676,5.49147,8.44321,0.890149,0.866223,-0.448326,9.1334,3.39828,10.3424,5.17249,7.22032,3.88813,7.44311,B
9.66394,33.5068,14.4602,20.0216,9.96969,25.7717,-11.3781,4.62968,2.76627,25.9109,2.11794,18.2314,7.75273,-0.00201432,9.23832,21.4195,Unknown
4.3846,6.95935,6.20389,5.56601,5.21083,9.66142,5.55714,3.7507,5.2024,8.56921,2.88414,5.87448,2.05362,7.61576,4.93807,9.33441,B
3.42131,6.4441,5.66084,4.65404,2.71383,8.71598,3.24269,2.38136,0.285948,6.68794,1.71442,7.68773,3.32746,5.8627,1.70199,6.96345,A
4.04465,12.2326,6.19442,8.38846,3.87978,11.2245,2.4516,3.15324,2.30584,9.95708,1.01331,7.37559,2.18974,6.62195,2.50905,8.20304,A
4.56683,10.1826,4.06851,5.92623,5.72313,9.95753,2.66957,1.52454,2.38781,8.20801,4.40505,8.07678,5.97898,5.80507,5.80807,9.4982,B
3.78669,8.79898,3.75145,4.87994,3.1174,6.32266,5.73349,6.28525,4.55859,8.2387,6.60519,8.96616,4.06815,8.35266,6.31001,7.86972,B
3.2397,5.13683,4.23257,3.48929,4.97055,7.66643,7.92874,6.75457,3.90593,7.08802,8.03918,6.18417,4.78021,8.72287,9.17912,8.75947,B
3.51195,4.28652,4.25423,2.98937,2.67886,7.13522,6.78127,2.8016,4.78968,6.83447,6.02264,6.08619,3.09272,8.71676,6.00699,8.23263,B
4.85396,10.3674,6.95109,6.96581,5.0241,12.5162,4.49461,4.96795,5.0563,13.5614,3.49412,9.0534,1.94247,6.66107,3.84973,9.89714,B
3.75438,8.52649,5.40836,6.4698,4.0139,4.84916,7.28155,6.9304,6.61508,7.86635,7.72633,11.1191,3.31811,8.8558,3.85755,7.01934,C
3.14182,7.65383,5.28741,5.52044,3.4996,5.17638,7.06554,5.74786,6.82393,6.82785,6.62203,10.4485,1.80645,7.7901,3.26782,7.74434,C
6.79189,7.96159,5.58103,5.05699,2.2013,4.77768,7.61976,3.60824,9.37496,13.1261,10.7835,12.425,2.78397,5.68298,2.82382,3.7688,B
2.70627,5.16637,3.54033,3.05167,0.208788,6.08846,9.18035,5.9565,7.55324,8.6125,8.4101,15.202,0.349876,8.32662,4.66718,11.6095,Unknown
3.09341,5.97423,4.85217,5.70103,5.35942,6.71354,6.61075,3.34426,4.55994,4.49211,6.38407,8.3898,3.09466,7.42663,2.55689,6.87643,B
4.79873,7.56414,4.9476,4.39986,2.51066,5.85118,7.51777,4.6976,5.57099,10.0998,7.38037,8.22578,2.46252,8.60574,3.71338,7.38023,B
-0.862783,-28.0333,-9.59633,-2.66699,-13.8036,-4.17054,0.946061,10.2356,24.0447,-1.35623,-14.9616,28.6432,6.04204,19.8752,15.8559,-0.00633288,Unknown
2.87447,6.34672,4.81809,4.24006,3.12166,9.54889,3.82083,1.80599,3.06931,7.95949,2.29856,6.92831,2.53538,6.69416,3.66392,7.74249,A
4.40327,7.3056,6.55068,4.54858,3.95148,10.9553,2.3069,2.56169,2.70451,9.87646,2.39329,10.0667,3.08541,5.69611,4.1104,10.3729,A
-1.12925,-4.27196,3.25488,-2.50517,21.2213,19.8334,29.4874,31.5926,-1.42432,-7.48921,33.3233,-19.2564,-2.1389,-8.44768,7.6697,44.8779,Unknown
3.46281,6.62258,4.82895,5.91278,2.63204,9.81752,2.5409,2.12749,0.221759,8.25365,1.50378,8.23006,2.00245,4.59839,1.83909,7.52949,A
5.14546,8.1941,5.9192,5.83529,3.4899,8.76739,2.5154,2.9167,2.80309,7.67972,2.23784,8.37325,2.52511,6.52326,2.37209,7.34369,A
3.05228,7.16753,3.25398,4.67498,2.3469,5.77721,7.58487,5.57905,5.71871,8.38624,7.02684,10.6215,1.35154,9.34115,3.67282,9.74591,C
4.32184,7.62217,7.10054,7.02973,3.88808,6.56189,8.7586,8.36632,9.44584,6.20183,5.48293,13.7724,1.13907,8.47899,4.65461,5.57998,Unknown
5.46299,9.40211,5.8524,4.8746,3.52935,5.23099,4.95772,4.54289,5.02234,7.14879,5.36079,10.637,3.60628,7.82363,4.70698,9.05153,B
5.21219,9.56404,5.80576,7.61426,7.05405,4.84688,7.90841,4.86651,4.62647,6.52181,6.25486,8.91371,3.96675,7.91732,6.62663,5.54317,C
2.5715,4.40745,4.00143,2.93836,2.39001,9.97209,4.4609,2.64626,4.74817,8.82624,3.53185,10.376,1.7123,7.936,4.51217,10.2129,B
6.78866,16.8644,10.9824,4.98558,6.8385,14.5485,0.0826339,5.94237,-1.29806,15.942,3.68489,10.2914,8.63888,-2.64504,1.29863,9.25014,Unknown
3.02913,2.8245,4.45762,2.60488,1.79092,7.42438,5.91669,5.23832,6.95058,8.18245,5.11701,11.9358,1.28287,7.97861,3.9752,9.71848,B
3.68745,8.26194,6.21329,5.78229,3.63593,8.62908,2.16569,1.3989,1.94823,6.51382,1.80378,6.98061,3.28355,5.89193,3.25395,5.7384,A
3.20884,7.73027,4.77872,6.18573,3.20174,8.3615,2.62096,2.72317,2.33561,7.85668,3.01627,7.85358,2.40902,7.22685,4.42314,7.76648,A
2.0432,1.3601,3.43506,2.27677,1.25011,8.57635,3.40378,1.73501,1.39222,8.20403,2.21462,9.83835,2.63008,7.39201,2.16164,8.74299,A
6.31662,9.93923,8.09407,7.02708,5.29592,7.23975,4.13224,2.77927,3.88847,8.19513,2.44343,7.96999,4.34178,5.62856,4.3798,8.46965,B
3.94682,7.30048,5.76097,7.19584,3.19908,11.1806,1.79055,3.07679,1.76828,9.85225,1.88357,9.85265,2.75743,7.20695,3.31849,8.46599,A
4.7864,14.8899,6.22071,12.1682,4.91845,8.44464,9.98779,7.58964,11.471,11.0665,7.93477,17.8421,-0.693602,10.8722,4.07936,9.72929,Unknown
2.86845,7.57667,4.38468,5.41993,3.27669,10.7908,5.85546,1.91505,1.57164,7.16293,3.53175,9.09623,3.8938,7.64245,3.56251,6.96057,A
7.77357,11.1087,8.2909,8.01681,4.18115,6.685,4.8127,4.63714,7.19384,5.11486,2.88705,7.97248,3.07478,5.5589,3.879,7.33071,B
5.62204,8.86678,4.7712,5.09492,3.15979,6.43171,7.48141,4.35002,6.28311,9.55843,6.42225,8.65926,2.12924,8.42848,3.70602,7.77799,C
5.85036,9.98027,6.47889,6.72511,4.0397,9.21087,5.62769,5.15229,5.14061,10.0833,3.9949,7.95895,2.2549,8.4691,4.09328,7.83671,B
4.05184,6.17583,5.31845,4.31397,2.29068,10.0907,2.89479,2.36978,1.97814,9.45158,2.26554,9.34292,3.94878,5.83869,4.80032,9.34632,A
3.36877,7.32962,4.03535,4.57562,2.46651,4.49728,6.81991,4.46136,6.32035,9.48242,7.07612,11.1295,2.04383,8.07933,3.19688,7.51959,C
4.76376,8.52956,6.6032,6.82321,5.8382,8.9333,5.19683,2.1745,5.09242,8.51843,3.5596,6.94229,3.48433,7.54234,4.51665,10.4586,B
1.59293,5.35806,3.20951,4.58236,2.82934,5.33031,8.22713,6.45866,5.74627,9.87085,8.24625,11.85,1.83055,9.30631,2.27477,8.98758,C
8.23757,14.677,7.08878,8.07329,5.00579,6.64626,7.93109,7.97392,6.38749,7.1793,5.49872,9.54221,4.30754,8.56943,6.59406,10.8952,C
6.05734,10.5598,6.16051,5.59172,3.75919,7.70094,5.27311,6.89794,4.92722,7.87724,5.53933,8.86343,4.45848,8.63889,5.72815,7.81085,B
4.77938,9.19267,6.72703,6.43596,3.59644,6.65706,4.78263,2.20574,2.91376,6.89443,2.21293,6.60238,3.17103,6.99402,4.03768,7.05302,A
6.46797,12.4987,6.59619,8.40293,6.75629,6.65745,7.487,5.00506,5.6677,9.35751,7.32664,5.62826,2.96437,8.19081,11.6566,12.4255,Unknown
4.91111,12.1908,5.03937,9.42278,3.79666,14.7807,3.39576,2.88071,2.54192,11.6051,1.69559,11.5788,3.02421,7.13128,3.16207,9.09473,Unknown
4.69435,8.43182,5.88218,5.58297,3.65706,10.7084,2.75999,3.00911,1.93106,9.99049,2.8916,10.2711,3.69331,5.30258,3.34308,7.59609,A
2.62809,6.51395,4.25851,4.04571,1.58135,5.6858,8.1138,6.82602,8.22909,7.91281,7.66076,12.6822,0.514354,8.43059,5.18274,9.91517,C
-28.3264,-47.5386,-58.6774,-65.3688,-52.1074,-34.3352,94.9443,-21.8218,-13.2197,25.7232,-26.7751,-21.1017,6.28044,22.5146,-10.4434,82.3965,Unknown
4.09308,9.31031,5.58401,6.67325,4.01978,9.08143,5.43129,4.11413,4.20429,9.51327,3.46372,11.335,2.70127,8.26711,3.11119,9.02601,B
4.55082,9.96862,5.48417,6.22973,3.5784,5.66623,4.67703,3.9263,4.05418,7.37137,3.65154,9.30624,1.52028,6.27231,3.56975,7.7107,B
5.40325,12.0688,8.68003,9.22902,6.29728,9.49265,6.43054,2.73561,5.9921,10.0934,4.60868,6.96656,5.54113,5.97572,4.40129,6.71167,B
4.48192,9.80641,4.63358,5.78587,2.99144,8.08162,8.71502,4.75003,5.82469,10.5826,6.44558,5.44296,3.95938,8.82452,6.12201,7.57905,B
1.04864,4.57635,3.87322,5.17516,3.75193,5.21964,6.10813,6.94982,9.19454,12.9094,12.7808,11.8282,1.08045,11.4447,3.26768,6.15465,B
4.2297,6.83963,5.93187,5.49531,4.76737,7.87105,7.23492,3.96836,5.04973,7.66808,4.03091,5.65843,1.95427,6.98329,4.85706,9.22003,B
5.08067,10.4407,5.90054,7.46619,3.60699,5.98051,8.2744,6.74259,8.12689,8.95565,6.31283,13.1319,2.29903,9.99997,4.77326,8.59935,C
5.4407,11.0904,4.42947,5.92103,2.92722,8.4265,5.7929,2.25475,4.41186,8.40385,4.00185,7.22691,3.41207,7.44258,6.25942,9.22586,B
2.04057,5.00853,3.44176,4.02879,2.44599,9.83783,6.65431,3.25334,5.10448,11.3001,3.98733,8.15394,2.22831,8.62142,3.89831,10.192,B
4.99851,12.2551,7.09596,7.76377,5.89058,7.47773,8.9523,6.05364,8.04549,10.7621,9.02845,7.00186,2.94542,9.58641,7.39856,7.69096,B
4.32395,7.88106,2.01321,8.90311,1.99295,-9.5326,7.63522,1.39986,9.21882,19.4752,11.3896,8.83538,9.77511,16.6269,1.22086,-9.77783,Unknown
1.01331,4.73817,1.80824,2.05414,1.76285,11.3972,2.51836,3.27774,2.7511,9.65973,1.48552,8.92603,1.569,6.08512,2.27856,8.84769,A
3.3132,10.2141,3.21617,8.35392,4.58198,6.42063,7.9019,6.67739,5.4078,7.14744,4.91023,5.80881,3.55935,8.04835,7.89611,11.6721,B
6.09633,10.3765,8.01455,7.97962,7.53363,9.43904,7.21604,2.36226,5.20293,8.83273,4.01619,7.56701,3.91074,8.37021,4.48302,10.7602,B
4.77517,11.4694,4.69223,7.72716,3.47607,5.93962,9.6485,10.3694,9.07616,8.49196,7.46029,10.1674,2.00352,9.43504,5.9896,10.8051,B
7.44238,13.7763,8.25018,9.47852,4.05583,6.69697,3.71984,5.24875,6.2144,7.8124,2.38769,9.34297,2.63732,7.59233,6.37741,11.2723,B
4.27981,8.72557,6.34378,6.26512,5.07793,10.0615,7.3168,2.72732,3.83883,7.48383,3.17236,4.74084,4.29998,6.24625,4.71962,4.61904,A
5.65787,12.5131,9.53995,9.2789,6.9333,10.1482,3.6231,0.468288,1.95908,7.84404,2.54657,10.0789,6.10293,5.1879,3.25144,7.74539,B
5.80723,8.40164,6.84372,5.06552,5.30284,7.78881,8.57189,5.23951,7.07163,9.43743,6.09715,6.53169,3.30837,9.20866,5.62742,8.96035,B
4.71545,8.78064,5.52261,6.89682,2.67619,6.27851,6.48837,5.94691,8.94446,8.3951,5.54273,12.5287,2.02855,7.73475,4.28072,8.23648,B
3.4731,5.20769,5.75659,5.14141,2.62807,9.20838,2.17697,2.78241,1.84878,8.58446,0.982675,9.31812,2.08291,6.32666,2.53066,8.08231,A
2.87545,8.55077,3.59733,4.44283,3.17729,10.3556,4.71265,1.51741,2.43102,8.32116,1.90048,8.36094,5.00527,4.93285,3.77657,7.70531,A
5.9723,9.40402,6.28578,8.58304,6.85204,6.485,7.70924,9.56811,5.86348,7.92684,6.04994,9.2105,4.87963,9.21984,8.51775,6.43948,B
2.4894,3.14797,4.37907,3.24217,1.66463,9.04701,2.19974,2.04307,2.09086,7.79413,1.26159,7.69916,2.04108,6.13024,2.34898,7.50334,A
6.33578,7.92562,7.24227,6.62856,5.38758,7.5098,6.12826,2.84366,4.65223,6.70802,5.69222,9.37884,4.34421,7.75131,5.63357,8.12758,B
5.18306,10.9404,8.51399,7.81107,5.96545,10.4443,6.48175,3.78004,3.71199,7.56799,2.73213,8.36383,4.33975,6.51164,4.0413,6.97788,A
3.98047,9.11052,5.23037,5.14005,3.8405,8.35318,3.01185,3.08478,3.63459,8.33877,3.97224,11.2938,3.71426,6.4271,5.19324,8.59321,A
2.38,7.66267,4.3166,5.80149,3.11209,8.92275,2.52262,2.02205,2.3914,8.96078,2.71835,9.33357,1.95787,7.03707,3.30839,8.46155,B
5.01425,9.63747,6.04069,6.02574,5.6575,9.79462,8.72035,4.04591,5.94331,10.3315,7.2335,5.89274,3.25718,7.68664,7.69239,6.69231,B
3.12808,9.18515,4.16983,6.33279,2.23084,5.40571,4.71871,3.33887,3.02361,6.17633,2.80918,8.4679,1.66756,6.53541,3.09729,8.16621,A
2.49202,4.3817,3.51514,2.69379,2.59187,8.99311,7.20724,3.9833,4.59302,8.19063,6.16667,6.62928,2.70545,8.13159,5.47397,10.3105,B
2.43528,4.77034,3.73515,3.0697,1.70558,5.10448,6.67034,5.95136,6.86265,6.7009,5.28761,10.4698,1.05017,7.71121,3.21435,7.97758,C
5.83965,13.1926,5.6555,8.90801,3.40145,7.52971,5.891,8.34841,7.6665,9.60587,4.70057,10.7373,3.11287,8.75855,5.5846,11.0332,C
2.98952,6.37956,5.57909,3.41948,3.05773,7.88394,5.36427,2.84755,2.8544,7.97389,2.73556,6.49132,3.73256,5.788,3.21876,7.08804,B
3.32771,7.78015,4.07339,6.86771,3.72228,3.6693,6.11248,3.15114,5.55045,8.86209,6.93741,13.0747,2.9581,8.16908,2.84488,6.33485,C
4.65918,11.2707,6.67864,7.63797,5.62422,7.39516,4.22871,1.73292,2.84706,6.13159,3.3048,8.33332,5.76184,7.03059,4.54994,6.29543,B
2.46402,5.61252,3.98983,3.36467,2.7939,8.96964,5.64585,4.10168,5.23825,10.3254,4.85069,8.22877,2.33279,8.11908,4.54734,9.09327,B
1.43165,5.13961,2.86985,3.92424,1.63957,6.91594,3.9657,3.22997,1.78706,6.99902,1.53334,7.63231,1.95908,5.5364,1.17291,6.85927,A
21.1611,25.718,26.226,15.5524,13.4495,31.3642,38.7556,32.382,5.45141,5.67725,9.45571,7.68958,1.30563,18.5659,38.3928,40.9971,Unknown
-26.9929,-14.7446,-1.89188,-8.89296,-13.7619,-10.9547,3.21607,-10.1131,4.32564,-22.1974,19.1366,-7.24927,17.7436,7.02164,-11.5255,-7.1377,Unknown
3.25574,7.35903,3.25486,4.20047,2.0408,5.1625,7.42119,5.23461,6.72285,9.25175,7.62839,11.0247,1.04397,8.67025,3.79608,8.59107,C
6.44763,11.7211,7.10245,7.0434,6.53719,6.62934,6.69864,5.15548,4.64604,6.06282,5.96649,9.30072,4.8488,7.42692,6.04348,5.8811,B
4.8521,10.8148,6.54851,9.84102,1.90721,5.47622,7.67378,8.79731,14.9482,8.04916,9.37333,21.4495,-1.08357,8.36199,4.45925,11.7907,C
2.7784,7.93905,3.74323,4.56006,4.14694,8.0898,7.68157,6.95734,6.67449,5.74659,6.03424,6.72603,1.67154,8.56979,6.57531,9.18403,C
4.48996,8.13108,4.90085,4.78062,2.64569,11.427,2.98561,3.47898,2.29932,9.3015,1.44773,9.53768,3.06801,5.77378,3.04509,7.56906,A
4.013,10.8735,4.91712,6.95516,4.57611,7.77377,7.35142,4.66293,4.758,7.05828,6.354,6.18838,3.20952,8.42063,5.80248,9.21838,B
1.75071,6.788,2.67731,3.36055,2.76264,10.8061,2.31484,2.38325,1.60851,8.77216,1.46071,9.82079,1.88704,6.49084,1.81637,8.32935,A
10.6079,25.7813,8.49131,6.81111,7.78686,12.9569,13.8695,5.01182,11.0371,19.039,12.1011,24.743,9.9032,9.5426,14.6423,13.8226,C
4.82235,8.86057,6.06539,6.75639,7.50673,6.91951,5.62761,4.6781,2.8762,7.18679,4.57681,7.88295,3.88593,8.21598,6.02701,5.60067,B
4.63702,10.4777,6.26034,7.31345,4.51652,9.3497,4.31941,2.38075,2.70268,8.28249,1.15585,6.01431,2.75726,5.92558,3.7982,8.41298,A
3.67263,4.49364,5.13229,3.54209,2.90903,10.3803,5.34232,2.33103,5.32205,9.88643,2.51406,6.93355,1.65344,7.76201,4.21714,9.60482,B
6.95187,12.1917,7.91954,8.06892,3.43729,4.27095,8.21885,3.67354,3.15821,4.16272,2.73355,13.0888,6.86719,8.71156,4.95398,8.19682,B
3.42246,6.5985,3.80635,3.98853,2.65685,9.90449,3.54258,2.2194,3.04329,11.7418,5.20562,9.19203,2.03405,4.56766,2.29102,7.55744,Unknown
6.12884,13.0767,5.76184,7.19135,4.20017,5.29,3.816,4.76759,3.16365,7.94487,4.06292,9.33103,5.7038,5.88321,4.68241,7.76566,B
4.88668,11.5454,5.18194,6.17913,3.8875,5.88826,7.60565,4.59049,3.43991,9.07967,5.50165,8.62379,3.21793,9.56942,3.40774,8.63771,B
8.86998,12.0763,9.18442,6.74332,8.91746,6.47849,6.88279,4.99706,3.72115,6.43193,6.01058,11.3047,9.87588,7.51388,10.6959,4.54063,Unknown
4.2544,8.67327,4.6727,4.36557,4.18502,7.84071,4.46927,3.19798,3.20768,7.23802,3.6037,8.77422,4.21086,6.49393,4.50265,7.26076,A
3.45361,7.40728,4.50371,5.39651,1.76016,8.90196,4.53803,2.73494,0.767027,8.84465,0.937474,8.28053,1.72079,7.65222,1.68885,7.5538,A
16.266,17.523,13.1267,33.3286,13.4988,13.5269,7.31669,15.0958,9.44604,14.5959,8.59829,14.7267,-3.66149,8.31748,22.8089,11.315,Unknown
6.25238,10.9691,6.22213,7.09245,3.73085,6.90575,6.30073,5.49296,5.69606,8.61071,3.97098,10.6752,2.41981,7.50682,2.63865,8.80137,B
5.06898,11.4307,5.10925,7.55176,4.16367,7.83405,4.16065,4.63923,3.05176,7.79245,2.49715,8.63123,2.85451,7.93758,4.46355,9.6184,B
3.97312,11.3868,4.99741,8.89799,2.14339,8.21932,4.45219,3.15516,0.852216,7.69629,-0.74819,7.43986,2.05946,5.94165,2.1728,9.27362,A
5.04325,9.44869,7.19351,6.24236,5.03234,7.35515,6.4378,1.30498,4.57976,8.65899,2.69286,6.25836,3.87946,6.06098,5.59399,6.66923,B
